sku,brand,name,desc,type,price,category,subcategory
RAI0007,Rain Design,Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,8696,59.99,Stand & Mount,Stand
APP0023,Apple,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,13855401,59.0,Peripherals,Keyboard
APP0025,Apple,Mighty Mouse Apple Mouse for Mac,mouse Apple USB cable.,1387,59.0,Peripherals,Mouse & Trackpad
APP0072,Apple,Apple Dock to USB Cable iPhone and iPod white,IPhone dock and USB Cable Apple iPod.,1230,25.0,Cables & Adapters,Lightning USB Cable
KIN0007,Kingston,Mac Memory Kingston 2GB 667MHz DDR2 SO-DIMM,2GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,1364,34.99,Storage,RAM Memory
APP0073,Apple,Apple Composite AV Cable iPhone and iPod white,IPhone and iPod AV Cable Dock to Composite Video.,1230,45.0,Cables & Adapters,Lightning USB Cable
KIN0008,Kingston,Mac Memory Kingston 1GB 667MHz DDR2 SO-DIMM,1GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,1364,18.99,Storage,RAM Memory
KIN0009,Kingston,Mac Memory Kingston 2GB 800MHz DDR2 SO-DIMM,2GB RAM iMac with Intel Core 2 Duo (Penryn).,1364,36.99,Storage,RAM Memory
KIN0001-2,Kingston,Mac memory Kingston 4GB (2x2GB) 667MHz DDR2 SO-DIMM,RAM 4GB (2x2GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,1364,74.0,Storage,RAM Memory
APP0100,Apple,Apple Adapter Mini Display Port to VGA,Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).,1325,35.0,Cables & Adapters,Video Adapter
APP0101,Apple,Apple Mini DisplayPort to DVI Adapter,Adapter mini DisplayPort to DVI MacBook and MacBook Pro (unibody).,1325,35.0,Cables & Adapters,Video Adapter
SEN0021,Sennheiser,Sennheiser CX 300-II Precision headphones iPhone iPad and iPod black,Headphones iPhone iPad iPad 2 iPad 3 and iPod.,5384,49.99,Audio & Video,Headphones
APP0111,Apple,Apple USB Ethernet Adapter Mac,USB to Ethernet adapter Mac.,1334,35.0,Networking,NAS NIC / 10GbE Card
APP0156,Apple,45W MagSafe charger Apple MacBook Air,Charger MacBook Air MagSafe 45 W (MC747Z / A).,13005399,89.0,Power & Charging,Charger
MOS0013,Moshi,Adapter Moshi FireWire 400 to FireWire 800,FireWire 400 adapter cable FireWire 800.,1325,20.0,Cables & Adapters,Generic Adapter
MOS0021,Moshi,Clearguard Moshi MacBook Pro and Air,Keyboard Protector MacBook Pro 13-inch Retina 15 inches 17 inches 13 inches 15 inches and 13-inch Air.,13835403,24.95,Cases & Protection,Screen Protector
